score,model,setup,experiment,pattern,task_id,prediction,ground_truth
4,gpt-4.1,A,E1,P1,exp1-P1-genAI,"After the introduction of transformer models in 2017, both patent and scientific publications increased greatly, with scientific publications exploding after the 2022 release of ChatGPT.","Canonical M: Let e be an entity and let m be an attribute defined over time. Let v(e, m, t) denote the value or state of entity e with respect to attribute m at time t. A trajectory shift pattern holds when there exists a time or event τ such that the behavior of v(e, m, t) differs before and after τ. Let g_pre denote the trend of v(e, m, t) before τ, and let g_post denote the trend of v(e, m, t) after τ. A trajectory shift holds when: g_pre ≠ g_post or more strongly, |g_post - g_pre| > ε, where ε is a threshold for meaningful change."
5,gpt-4.1,A,E1,P1,exp1-P1-genAI,"In terms of patent growth, patent families assigned to GANs show the strongest increase over the past decade. However, patent growth of GAN patent families has slowed down and GAN patent families have increased only moderately over the last three years. A similar slowdown in patent growth can be seen for patent families for VAE models and autoregressive models. In contrast, diffusion models and LLMs show much higher growth rates over the last three years, with the number of patent families for diffusion models increasing from 18 in 2020 to 441 in 2023 and for LLMs increasing from 53 in 2020 to 881 in 2023. The GenAI boom caused by modern chatbots such as ChatGPT has clearly increased research interest in LLMs.","Canonical M: Let e be an entity and let m be an attribute defined over time. Let v(e, m, t) denote the value or state of entity e with respect to attribute m at time t. A trajectory shift pattern holds when there exists a time or event τ such that the behavior of v(e, m, t) differs before and after τ. Let g_pre denote the trend of v(e, m, t) before τ, and let g_post denote the trend of v(e, m, t) after τ. A trajectory shift holds when: g_pre ≠ g_post or more strongly, |g_post - g_pre| > ε, where ε is a threshold for meaningful change."
4,gpt-4.1,A,E1,P1,exp1-P1-genAI,"However, patent growth has been high in all applications since 2014. However, over the last three years there have been diverging growth trends with very high growth rates in both smaller application areas such as agriculture and energy management and large fields such as life sciences, security and physical sciences/engineering. In contrast, the number of patent families has stagnated or even declined in certain application areas such as telecommunications, military, arts and humanities or industrial property/law/social and behavioral sciences (Figure 27).","Canonical M: Let e be an entity and let m be an attribute defined over time. Let v(e, m, t) denote the value or state of entity e with respect to attribute m at time t. A trajectory shift pattern holds when there exists a time or event τ such that the behavior of v(e, m, t) differs before and after τ. Let g_pre denote the trend of v(e, m, t) before τ, and let g_post denote the trend of v(e, m, t) after τ. A trajectory shift holds when: g_pre ≠ g_post or more strongly, |g_post - g_pre| > ε, where ε is a threshold for meaningful change."
4,gpt-4.1,A,E1,P1,exp1-P1-genAI,"After the introduction of transformer models in 2017, both patent and scientific publications increased greatly, with scientific publications exploding after the 2022 release of ChatGPT.","Canonical M: Let e be an entity and let m be an attribute defined over time. Let v(e, m, t) denote the value or state of entity e with respect to attribute m at time t. A trajectory shift pattern holds when there exists a time or event τ such that the behavior of v(e, m, t) differs before and after τ. Let g_pre denote the trend of v(e, m, t) before τ, and let g_post denote the trend of v(e, m, t) after τ. A trajectory shift holds when: g_pre ≠ g_post or more strongly, |g_post - g_pre| > ε, where ε is a threshold for meaningful change."
5,gpt-4.1,A,E1,P1,exp1-P1-genAI,"In terms of patent growth, patent families assigned to GANs show the strongest increase over the past decade. However, patent growth of GAN patent families has slowed down and GAN patent families have increased only moderately over the last three years. A similar slowdown in patent growth can be seen for patent families for VAE models and autoregressive models. In contrast, diffusion models and LLMs show much higher growth rates over the last three years, with the number of patent families for diffusion models increasing from 18 in 2020 to 441 in 2023 and for LLMs increasing from 53 in 2020 to 881 in 2023. The GenAI boom caused by modern chatbots such as ChatGPT has clearly increased research interest in LLMs.","Canonical M: Let e be an entity and let m be an attribute defined over time. Let v(e, m, t) denote the value or state of entity e with respect to attribute m at time t. A trajectory shift pattern holds when there exists a time or event τ such that the behavior of v(e, m, t) differs before and after τ. Let g_pre denote the trend of v(e, m, t) before τ, and let g_post denote the trend of v(e, m, t) after τ. A trajectory shift holds when: g_pre ≠ g_post or more strongly, |g_post - g_pre| > ε, where ε is a threshold for meaningful change."
2,gpt-4.1,A,E1,P1,exp1-P1-genAI,"However, the raw number of publications as a performance indicator has its limitations, because it does not reflect the impact of the publications. The number of citations that a publication receives is therefore often considered as a more reliable indicator. The citation numbers by institution show higher positions for companies. Alphabet/Google becomes the leading institution by a large margin, and seven other companies are present in the top 20 (Figure 15). The case of OpenAI is also noteworthy. The company has published only 48 articles according to the GenAI corpus (325th institution in term of document count), but these publications received a total of 11,816 citations from other publications of the corpus (position 13 in total). Such impact is outstanding in our study, in particular given that many of OpenAI’s publications are pre-prints and not published in major conferences and...","Canonical M: Let e be an entity and let m be an attribute defined over time. Let v(e, m, t) denote the value or state of entity e with respect to attribute m at time t. A trajectory shift pattern holds when there exists a time or event τ such that the behavior of v(e, m, t) differs before and after τ. Let g_pre denote the trend of v(e, m, t) before τ, and let g_post denote the trend of v(e, m, t) after τ. A trajectory shift holds when: g_pre ≠ g_post or more strongly, |g_post - g_pre| > ε, where ε is a threshold for meaningful change."
3,gpt-4.1,A,E3-M,P1,exp3-P1-fold1,"Let f(y) denote the count of distinct patent families for a specific technology or application in year y. Across the examples, f(y) is a non-decreasing function over time, often exhibiting periods of accelerated growth (e.g., exponential or high compound annual growth rate) following the introduction or increased adoption of a technology, sometimes with inflection points where the growth rate changes.","Canonical M: Let e be an entity and let m be an attribute defined over time. Let v(e, m, t) denote the value or state of entity e with respect to attribute m at time t. A trajectory shift pattern holds when there exists a time or event τ such that the behavior of v(e, m, t) differs before and after τ. Let g_pre denote the trend of v(e, m, t) before τ, and let g_post denote the trend of v(e, m, t) after τ. A trajectory shift holds when: g_pre ≠ g_post or more strongly, |g_post - g_pre| > ε, where ε is a threshold for meaningful change."
3,gpt-4.1,A,E3-T,P1,exp3-P1-fold1,"Across the examples, the number of distinct patent families for a given technology or application increases over time, often with periods of rapid growth following technological advances or increased interest. This growth is typically sustained over several years, sometimes accelerating sharply after key innovations or milestones.","Canonical T: A trajectory shift pattern is a temporal pattern in which an entity changes its direction, speed, or status after a specific time or event. The entity may shift from slow growth to rapid growth, growth to stagnation, growth to decline, decline to recovery, dominance to slowdown, niche activity to momentum, or one technological pathway to another. The pattern requires an explicit before/after structure or a stated turning point; a simple statement that something is growing, declining, dominant, or important is not sufficient."
3,gpt-4.1,A,E3-M,P1,exp3-P1-fold1,"Let f(y) denote the count of distinct patent families for a given technology or category in year y. Across the examples, f(y) is a non-decreasing function over time, often exhibiting periods of accelerated (exponential or superlinear) growth, particularly after a specific inflection point (e.g., introduction of a new technology or method). This can be modeled as f(y) = f(y-1) * (1 + r(y)), where r(y) is the annual growth rate, which may increase sharply at certain years.","Canonical M: Let e be an entity and let m be an attribute defined over time. Let v(e, m, t) denote the value or state of entity e with respect to attribute m at time t. A trajectory shift pattern holds when there exists a time or event τ such that the behavior of v(e, m, t) differs before and after τ. Let g_pre denote the trend of v(e, m, t) before τ, and let g_post denote the trend of v(e, m, t) after τ. A trajectory shift holds when: g_pre ≠ g_post or more strongly, |g_post - g_pre| > ε, where ε is a threshold for meaningful change."
3,gpt-4.1,A,E3-T,P1,exp3-P1-fold1,"Across the examples, the number of distinct patent families for a given technology or category consistently increases over time, often with periods of rapid growth following key technological advancements or shifts. This pattern reflects a general trend of accelerating innovation and patent activity in response to significant developments within the field.","Canonical T: A trajectory shift pattern is a temporal pattern in which an entity changes its direction, speed, or status after a specific time or event. The entity may shift from slow growth to rapid growth, growth to stagnation, growth to decline, decline to recovery, dominance to slowdown, niche activity to momentum, or one technological pathway to another. The pattern requires an explicit before/after structure or a stated turning point; a simple statement that something is growing, declining, dominant, or important is not sufficient."
2,gpt-4.1,A,E3-M,P1,exp3-P1-fold2,"Let f(y) denote the count of distinct patent families for a given technology or country in year y. The recurring pattern is that f(y) is a non-negative, discrete time series indexed by year, exhibiting periods of rapid growth (increasing f(y)), possible peaks, and subsequent slowdowns or declines (decreasing or plateauing f(y)), often associated with the emergence or maturation of specific technologies or regional trends.","Canonical M: Let e be an entity and let m be an attribute defined over time. Let v(e, m, t) denote the value or state of entity e with respect to attribute m at time t. A trajectory shift pattern holds when there exists a time or event τ such that the behavior of v(e, m, t) differs before and after τ. Let g_pre denote the trend of v(e, m, t) before τ, and let g_post denote the trend of v(e, m, t) after τ. A trajectory shift holds when: g_pre ≠ g_post or more strongly, |g_post - g_pre| > ε, where ε is a threshold for meaningful change."
4,gpt-4.1,A,E3-T,P1,exp3-P1-fold2,"The recurring pattern is that the number of distinct patent families related to a specific technology or region changes over time, typically showing phases of rapid increase, reaching a peak, and then either slowing down, plateauing, or declining. This reflects how innovation activity in a field or location evolves, often accelerating with new developments and then stabilizing or decreasing as the technology matures or shifts.","Canonical T: A trajectory shift pattern is a temporal pattern in which an entity changes its direction, speed, or status after a specific time or event. The entity may shift from slow growth to rapid growth, growth to stagnation, growth to decline, decline to recovery, dominance to slowdown, niche activity to momentum, or one technological pathway to another. The pattern requires an explicit before/after structure or a stated turning point; a simple statement that something is growing, declining, dominant, or important is not sufficient."
3,gpt-4.1,A,E3-M,P1,exp3-P1-fold2,"Given a time series of counts C(y) for a specific category (e.g., patent families) indexed by year y, the recurring pattern is that C(y) exhibits a period of sustained growth (C(y+1) > C(y) for consecutive years), often accelerating, followed by a plateau or decline (C(y+1) ≤ C(y)) in later years. This pattern may differ across categories or regions, with some showing continued growth while others peak and then decrease.","Canonical M: Let e be an entity and let m be an attribute defined over time. Let v(e, m, t) denote the value or state of entity e with respect to attribute m at time t. A trajectory shift pattern holds when there exists a time or event τ such that the behavior of v(e, m, t) differs before and after τ. Let g_pre denote the trend of v(e, m, t) before τ, and let g_post denote the trend of v(e, m, t) after τ. A trajectory shift holds when: g_pre ≠ g_post or more strongly, |g_post - g_pre| > ε, where ε is a threshold for meaningful change."
4,gpt-4.1,A,E3-T,P1,exp3-P1-fold2,"The recurring pattern is that the number of patent families for a given technology or region tends to increase steadily over several years, sometimes rapidly, reaches a peak, and then either levels off or declines. This growth-peak-decline pattern is observed across different technologies and geographies, though the timing and rate of change may vary.","Canonical T: A trajectory shift pattern is a temporal pattern in which an entity changes its direction, speed, or status after a specific time or event. The entity may shift from slow growth to rapid growth, growth to stagnation, growth to decline, decline to recovery, dominance to slowdown, niche activity to momentum, or one technological pathway to another. The pattern requires an explicit before/after structure or a stated turning point; a simple statement that something is growing, declining, dominant, or important is not sufficient."
2,gpt-4.1,A,E3-M,P1,exp3-P1-fold1,"Let F(t) denote the count of distinct patent families related to a specific technology or application area in year t. Across the examples, F(t) is a non-decreasing function over time, typically exhibiting exponential or compound annual growth, especially after a certain inflection point (e.g., introduction of a new technology or method). This can be modeled as F(t) = F_0 * (1 + r)^(t-t_0) for t ≥ t_0, where F_0 is the initial count at baseline year t_0 and r is the average annual growth rate, with possible periods of accelerated growth following technological breakthroughs.","Canonical M: Let e be an entity and let m be an attribute defined over time. Let v(e, m, t) denote the value or state of entity e with respect to attribute m at time t. A trajectory shift pattern holds when there exists a time or event τ such that the behavior of v(e, m, t) differs before and after τ. Let g_pre denote the trend of v(e, m, t) before τ, and let g_post denote the trend of v(e, m, t) after τ. A trajectory shift holds when: g_pre ≠ g_post or more strongly, |g_post - g_pre| > ε, where ε is a threshold for meaningful change."
3,gpt-4.1,A,E3-T,P1,exp3-P1-fold1,"Across the examples, the number of distinct patent families in a given technology area increases over time, often accelerating rapidly after key innovations or inflection points. This growth is typically sustained year-over-year, reflecting expanding research and development activity, and can often be characterized by a consistent annual growth rate or exponential trend.","Canonical T: A trajectory shift pattern is a temporal pattern in which an entity changes its direction, speed, or status after a specific time or event. The entity may shift from slow growth to rapid growth, growth to stagnation, growth to decline, decline to recovery, dominance to slowdown, niche activity to momentum, or one technological pathway to another. The pattern requires an explicit before/after structure or a stated turning point; a simple statement that something is growing, declining, dominant, or important is not sufficient."
3,gpt-4.1,A,E3-M,P1,exp3-P1-fold2,"Let f(y) denote the count of a specific type of patent family in year y. The recurring pattern is that f(y) is a non-negative, discrete, time-indexed sequence that typically exhibits periods of sustained growth (f(y+1) > f(y) for several consecutive years), sometimes followed by a plateau or decline (f(y+1) ≤ f(y)). The growth may be rapid (exponential or high linear rate) during certain intervals, and the pattern may include inflection points where the trend shifts from growth to stagnation or decline.","Canonical M: Let e be an entity and let m be an attribute defined over time. Let v(e, m, t) denote the value or state of entity e with respect to attribute m at time t. A trajectory shift pattern holds when there exists a time or event τ such that the behavior of v(e, m, t) differs before and after τ. Let g_pre denote the trend of v(e, m, t) before τ, and let g_post denote the trend of v(e, m, t) after τ. A trajectory shift holds when: g_pre ≠ g_post or more strongly, |g_post - g_pre| > ε, where ε is a threshold for meaningful change."
4,gpt-4.1,A,E3-T,P1,exp3-P1-fold2,"The recurring pattern is that the number of patent families related to a specific technology or region is tracked annually, showing periods of significant growth over several years, which may later slow down, plateau, or decline. This pattern highlights how technological innovation or interest in a field rises rapidly for a time, then stabilizes or decreases, often with clear turning points in the trend.","Canonical T: A trajectory shift pattern is a temporal pattern in which an entity changes its direction, speed, or status after a specific time or event. The entity may shift from slow growth to rapid growth, growth to stagnation, growth to decline, decline to recovery, dominance to slowdown, niche activity to momentum, or one technological pathway to another. The pattern requires an explicit before/after structure or a stated turning point; a simple statement that something is growing, declining, dominant, or important is not sufficient."
3,gpt-4.1,A,E3-M,P1,exp3-P1-fold3,"Let f(y) denote the count of a specific type of patent family in year y. Across the examples, f(y) exhibits a period of rapid, often exponential or superlinear, growth over several consecutive years, sometimes followed by a plateau or decline. Formally, for a sequence of years y0 < y1 < ... < yn, f(y_{i+1}) > f(y_i) for most i, with the rate of increase (f(y_{i+1}) - f(y_i)) / f(y_i) being significantly positive for a sustained period, and potentially decreasing or becoming negative in later years.","Canonical M: Let e be an entity and let m be an attribute defined over time. Let v(e, m, t) denote the value or state of entity e with respect to attribute m at time t. A trajectory shift pattern holds when there exists a time or event τ such that the behavior of v(e, m, t) differs before and after τ. Let g_pre denote the trend of v(e, m, t) before τ, and let g_post denote the trend of v(e, m, t) after τ. A trajectory shift holds when: g_pre ≠ g_post or more strongly, |g_post - g_pre| > ε, where ε is a threshold for meaningful change."
4,gpt-4.1,A,E3-T,P1,exp3-P1-fold3,"The recurring pattern is that the number of patent families in a given GenAI-related category tends to increase rapidly over several years, often at a high or accelerating growth rate, before potentially slowing down, plateauing, or declining in more recent years. This reflects a cycle of technological emergence, rapid adoption, and eventual maturation or saturation.","Canonical T: A trajectory shift pattern is a temporal pattern in which an entity changes its direction, speed, or status after a specific time or event. The entity may shift from slow growth to rapid growth, growth to stagnation, growth to decline, decline to recovery, dominance to slowdown, niche activity to momentum, or one technological pathway to another. The pattern requires an explicit before/after structure or a stated turning point; a simple statement that something is growing, declining, dominant, or important is not sufficient."
2,gpt-4.1,A,E1,P2,exp1-P2-genAI,"Inventors based in China were responsible for more than 38,000 patent families between 2014 and 2023, based on the inventor addresses published on patents. Since 2017, China has published more patents in this field each year than all other countries combined.","Canonical M: Let E = {e1, e2, ..., en} be a set of comparable entities and let m be an attribute measured over time. Let v(e, m, t) denote the value of entity e for attribute m at time t. For a shared interval [t_start, t_end], a growth divergence pattern holds when there exist two entities ei and ej such that both entities are measured using the same attribute, aggregation method, start time, and end time, and their absolute gap increases meaningfully over the interval: |v(ei, m, t_end) - v(ej, m, t_end)| > |v(ei, m, t_start) - v(ej, m, t_start)| + epsilon where epsilon >= 0 is a threshold for a meaningful increase in separation. Equivalently, define the pairwise gap between ei and ej at time t as: gap(ei, ej, m, t) = |v(ei, m, t) - v(ej, m, t)| Then growth divergence holds when: gap(ei, ej, m, t_end) - gap(ei, ej, m, t_start) > epsilon All compared entities must use the same attribute..."
